route_id,city,road_name,highway,start_lat,start_lng,end_lat,end_lng,length_m,sinuosity,max_heading_change_deg,sv_coverage,status,geometry_wkt
SR_02270,"Kochi, Kerala, India",,residential,9.956166999999999,76.3200671,9.955333499999998,76.320332,96.79,1.0015,7.47,,candidate_no_sv_check,"LINESTRING (76.3200671 9.956166999999999, 76.3200863 9.9561163, 76.3201544 9.955896500000001, 76.3202149 9.9557184, 76.3202497 9.9555544, 76.3203045 9.955399700000001, 76.320332 9.955333499999998)"
SR_02271,"Kochi, Kerala, India",Church Road,tertiary,9.957747499999996,76.3205549,9.957486899999996,76.3198043,87.23,1.0004,4.23,,candidate_no_sv_check,"LINESTRING (76.3205549 9.957747499999996, 76.3204885 9.957723299999998, 76.3203229 9.957675999999998, 76.320078 9.957586199999998, 76.3200408 9.957572699999998, 76.3198043 9.957486899999996)"
SR_02272,"Kochi, Kerala, India",Ettumanoor - Ernakulam Road,primary,9.959559100000002,76.3242942,9.9601671,76.3233024,127.86,1.0001,1.09,,candidate_no_sv_check,"LINESTRING (76.3242942 9.959559100000002, 76.3239141 9.9597861, 76.3235632 9.960000699999998, 76.3233024 9.9601671)"
SR_02273,"Kochi, Kerala, India",,tertiary,9.958633699999998,76.3186544,9.957186999999998,76.318742,160.37,1.0006,5.14,,candidate_no_sv_check,"LINESTRING (76.3186544 9.958633699999998, 76.3187456 9.957434900000003, 76.318742 9.957186999999998)"
SR_02274,"Kochi, Kerala, India",Ground Road,residential,9.974944599999999,76.2946591,9.9760926,76.2942055,136.83,1.0035,7.77,,candidate_no_sv_check,"LINESTRING (76.2946591 9.974944599999999, 76.2944318 9.975387, 76.2942869 9.975799099999996, 76.2942055 9.9760926)"
SR_02275,"Kochi, Kerala, India",Gandhi Nagar Road,tertiary,9.9765552,76.2944718,9.9775049,76.294299,106.75,1.0003,2.99,,candidate_no_sv_check,"LINESTRING (76.2944718 9.9765552, 76.294442 9.976710499999998, 76.2943403 9.977220599999999, 76.294299 9.9775049)"
SR_02276,"Kochi, Kerala, India",Gandhi Nagar Road,tertiary,9.974702100000002,76.2954684,9.974051,76.29604470000001,95.79,1.0,0.14,,candidate_no_sv_check,"LINESTRING (76.2954684 9.974702100000002, 76.2958111 9.9743157, 76.29604470000001 9.974051)"
SR_02277,"Kochi, Kerala, India",,residential,10.006397599999996,76.301628,10.006253899999999,76.3006358,110.19,1.0024,6.94,,candidate_no_sv_check,"LINESTRING (76.301628 10.006397599999996, 76.3010951 10.0062864, 76.300778 10.006259199999999, 76.3006358 10.006253899999999)"
SR_02278,"Kochi, Kerala, India",,residential,10.006253899999999,76.3006358,10.006397599999996,76.301628,110.19,1.0024,6.94,,candidate_no_sv_check,"LINESTRING (76.3006358 10.006253899999999, 76.300778 10.006259199999999, 76.3010951 10.0062864, 76.301628 10.006397599999996)"
SR_02279,"Kochi, Kerala, India",,residential,10.006561,76.3046827,10.0063785,76.3038286,95.78,1.0,0.0,,candidate_no_sv_check,"LINESTRING (76.3046827 10.006561, 76.3038286 10.0063785)"
